country,year,exporter,export_port,import_port,route_scenario,distance_nm,uses_suez,vessel,production_usd_t,shipping_usd_t,ship_co2_kg_t,ets_usd_t,import_port_handling_usd_t,inland_usd_t,airport_fee_usd_t,import_delivered_usd_t,domestic_usd_t,import_vs_domestic_pct
AUT,2030,ARE,Mina Jabal Ali,Trieste,all_canals,4605.0,True,MR,6982.1,50.5,41.4,2.92,5.0,43.2,5.412,7089.1,7594.9,-6.7
AUT,2050,ARE,Mina Jabal Ali,Trieste,all_canals,4605.0,True,LR2,2979.1,22.1,23.0,3.12,5.0,43.2,5.412,3057.9,3533.2,-13.5
BEL,2030,ARE,Mina Jabal Ali,Zeebrugge,all_canals,6304.0,True,MR,6982.1,60.8,56.7,4.0,5.0,12.6,5.412,7069.9,7075.1,-0.1
BEL,2050,ARE,Mina Jabal Ali,Zeebrugge,all_canals,6304.0,True,LR2,2979.1,27.0,31.5,4.27,5.0,12.6,5.412,3033.5,3326.3,-8.8
BGR,2030,ARE,Mina Jabal Ali,Varna,all_canals,3842.0,True,MR,6982.1,45.9,34.6,2.44,5.0,46.6,5.412,7087.4,13007.7,-45.5
BGR,2050,ARE,Mina Jabal Ali,Varna,all_canals,3842.0,True,LR2,2979.1,19.9,19.2,2.6,5.0,46.6,5.412,3058.6,4998.6,-38.8
CHE,2030,ARE,Mina Jabal Ali,Genova,all_canals,4646.0,True,MR,6982.1,50.7,41.8,2.95,5.0,42.4,5.412,7088.6,6969.2,1.7
CHE,2050,ARE,Mina Jabal Ali,Genova,all_canals,4646.0,True,LR2,2979.1,22.2,23.2,3.15,5.0,42.4,5.412,3057.3,3165.7,-3.4
CYP,2030,ARE,Mina Jabal Ali,Larnaca,all_canals,3230.0,True,MR,6982.1,42.2,29.1,2.05,5.0,0.6,5.412,7037.3,10956.1,-35.8
CYP,2050,ARE,Mina Jabal Ali,Larnaca,all_canals,3230.0,True,LR2,2979.1,18.1,16.1,2.19,5.0,0.6,5.412,3010.5,3658.4,-17.7
CZE,2030,ARE,Mina Jabal Ali,Szczecin,all_canals,7111.0,True,MR,6982.1,65.7,64.0,4.51,5.0,45.9,5.412,7108.5,8763.4,-18.9
CZE,2050,ARE,Mina Jabal Ali,Szczecin,all_canals,7111.0,True,LR2,2979.1,29.4,35.6,4.82,5.0,45.9,5.412,3069.6,3891.3,-21.1
DEU,2030,ARE,Mina Jabal Ali,Emden,all_canals,6528.0,True,MR,6982.1,62.2,58.7,4.14,5.0,47.0,5.412,7105.8,6060.8,17.2
DEU,2050,ARE,Mina Jabal Ali,Emden,all_canals,6528.0,True,LR2,2979.1,27.7,32.6,4.42,5.0,47.0,5.412,3068.6,2989.9,2.6
DNK,2030,ARE,Mina Jabal Ali,Kobenhavn,all_canals,6981.0,True,MR,6982.1,64.9,62.8,4.43,5.0,1.2,5.412,7063.0,6696.3,5.5
DNK,2050,ARE,Mina Jabal Ali,Kobenhavn,all_canals,6981.0,True,LR2,2979.1,29.0,34.9,4.73,5.0,1.2,5.412,3024.4,3066.5,-1.4
ESP,2030,ARE,Mina Jabal Ali,El Grao,all_canals,4779.0,True,MR,6982.1,51.5,43.0,3.03,5.0,38.4,5.412,7085.4,6196.3,14.3
ESP,2050,ARE,Mina Jabal Ali,El Grao,all_canals,4779.0,True,LR2,2979.1,22.6,23.9,3.24,5.0,38.4,5.412,3053.7,2821.4,8.2
EST,2030,ARE,Mina Jabal Ali,Vanasadam - Port of Tallinn,all_canals,7512.0,True,MR,6982.1,68.1,67.6,4.77,5.0,0.7,5.412,7066.0,21723.8,-67.5
EST,2050,ARE,Mina Jabal Ali,Vanasadam - Port of Tallinn,all_canals,7512.0,True,LR2,2979.1,30.5,37.6,5.09,5.0,0.7,5.412,3025.8,5273.2,-42.6
FIN,2030,ARE,Mina Jabal Ali,Helsinki,all_canals,7562.0,True,MR,6982.1,68.4,68.1,4.8,5.0,2.1,5.412,7067.8,7199.3,-1.8
FIN,2050,ARE,Mina Jabal Ali,Helsinki,all_canals,7562.0,True,LR2,2979.1,30.7,37.8,5.12,5.0,2.1,5.412,3027.4,3206.6,-5.6
FRA,2030,ARE,Mina Jabal Ali,Port Of Rouen,all_canals,6283.0,True,MR,6982.1,60.7,56.5,3.99,5.0,14.7,5.412,7071.8,5898.0,19.9
