country,year,exporter,export_port,import_port,route_scenario,distance_nm,uses_suez,vessel,production_usd_t,shipping_usd_t,ship_co2_kg_t,ets_usd_t,import_port_handling_usd_t,inland_usd_t,airport_fee_usd_t,import_delivered_usd_t,domestic_usd_t,import_vs_domestic_pct
AUT,2030,SAU,King Fahd Port,Trieste,all_canals,2236.0,True,MR,7241.5,36.1,20.1,1.42,5.0,43.2,5.412,7332.6,7594.9,-3.5
AUT,2030,ARE,Mina Jabal Ali,Trieste,all_canals,4605.0,True,MR,6982.1,50.5,41.4,2.92,5.0,43.2,5.412,7089.1,7594.9,-6.7
AUT,2030,MAR,Ad Dakhla,Trieste,all_canals,2270.0,False,MR,7523.0,18.8,20.4,1.44,5.0,43.2,5.412,7596.9,7594.9,0.0
AUT,2050,SAU,King Fahd Port,Trieste,all_canals,2236.0,True,LR2,3083.1,15.2,11.2,1.51,5.0,43.2,5.412,3153.4,3533.2,-10.7
AUT,2050,ARE,Mina Jabal Ali,Trieste,all_canals,4605.0,True,LR2,2979.1,22.1,23.0,3.12,5.0,43.2,5.412,3057.9,3533.2,-13.5
AUT,2050,MAR,Ad Dakhla,Trieste,all_canals,2270.0,False,LR2,3148.0,9.0,11.3,1.54,5.0,43.2,5.412,3212.1,3533.2,-9.1
BEL,2030,SAU,King Fahd Port,Zeebrugge,all_canals,3934.0,True,MR,7241.5,46.4,35.4,2.5,5.0,12.6,5.412,7313.5,7075.1,3.4
BEL,2030,ARE,Mina Jabal Ali,Zeebrugge,all_canals,6304.0,True,MR,6982.1,60.8,56.7,4.0,5.0,12.6,5.412,7069.9,7075.1,-0.1
BEL,2030,MAR,Ad Dakhla,Zeebrugge,all_canals,1995.0,False,MR,7523.0,17.2,18.0,1.27,5.0,12.6,5.412,7564.5,7075.1,6.9
BEL,2050,SAU,King Fahd Port,Zeebrugge,all_canals,3934.0,True,LR2,3083.1,20.1,19.7,2.67,5.0,12.6,5.412,3129.0,3326.3,-5.9
BEL,2050,ARE,Mina Jabal Ali,Zeebrugge,all_canals,6304.0,True,LR2,2979.1,27.0,31.5,4.27,5.0,12.6,5.412,3033.5,3326.3,-8.8
BEL,2050,MAR,Ad Dakhla,Zeebrugge,all_canals,1995.0,False,LR2,3148.0,8.2,10.0,1.35,5.0,12.6,5.412,3180.6,3326.3,-4.4
BGR,2030,SAU,King Fahd Port,Varna,all_canals,1472.0,True,MR,7241.5,31.5,13.2,0.93,5.0,46.6,5.412,7330.9,13007.7,-43.6
BGR,2030,ARE,Mina Jabal Ali,Varna,all_canals,3842.0,True,MR,6982.1,45.9,34.6,2.44,5.0,46.6,5.412,7087.4,13007.7,-45.5
BGR,2030,MAR,Ad Dakhla,Varna,all_canals,2887.0,False,MR,7523.0,22.6,26.0,1.83,5.0,46.6,5.412,7604.5,13007.7,-41.5
BGR,2050,SAU,King Fahd Port,Varna,all_canals,1472.0,True,LR2,3083.1,13.0,7.4,1.0,5.0,46.6,5.412,3154.1,4998.6,-36.9
BGR,2050,ARE,Mina Jabal Ali,Varna,all_canals,3842.0,True,LR2,2979.1,19.9,19.2,2.6,5.0,46.6,5.412,3058.6,4998.6,-38.8
BGR,2050,MAR,Ad Dakhla,Varna,all_canals,2887.0,False,LR2,3148.0,10.8,14.4,1.96,5.0,46.6,5.412,3217.7,4998.6,-35.6
HRV,2030,SAU,King Fahd Port,Bakar,all_canals,2152.0,True,MR,7241.5,35.6,19.4,1.37,5.0,16.1,5.412,7305.0,17261.4,-57.7
