country,scenario,plant_kt,strategy,carbon,wind,solar_pv,battery,seasonal_h2_store,fuel_tank_store,electrolyser_flex_oversize,electrolyser_incl_stacks,dac,ft_rwgs_upgrading,heat_pump,compressors,buffers_co2_h2,fixed_site_services,purchased_biogenic_co2,fuel_transport,airport_fee,water,total,model_delivered,check_diff
FIN,740 kt fixed (2030 tech),740.0,flex_fuel_store,market,1727.0,310.64,24.61,0.0,0.81,0.0,1263.38,0.0,499.6,0.0,55.96,139.36,91.89,817.33,13.58,5.41,45.02,4994.6,4994.6,-0.0
DNK,740 kt fixed (2030 tech),740.0,steady_h2_store,market,1791.21,287.24,23.73,96.03,0.0,0.0,1193.36,549.34,471.6,0.0,53.18,70.3,91.89,308.87,19.93,5.41,35.76,4997.86,4997.86,-0.0
DEU,740 kt fixed (2030 tech),740.0,steady_h2_store,market,1955.04,350.61,23.27,76.58,0.0,0.0,1193.36,0.0,471.6,0.0,53.18,70.3,91.89,776.43,23.45,5.41,45.02,5136.15,5136.15,0.0
FRA,740 kt fixed (2030 tech),740.0,steady_h2_store,market,1845.58,368.81,23.61,67.19,0.0,0.0,1193.36,404.02,471.6,0.0,53.18,70.3,91.89,496.1,25.42,5.41,38.21,5154.67,5154.67,-0.0
GBR,740 kt fixed (2030 tech),740.0,steady_h2_store,market,1844.37,337.41,25.1,106.5,0.0,0.0,1285.43,0.0,515.26,0.0,58.1,76.8,91.89,760.86,23.34,5.41,45.02,5175.5,5175.5,-0.0
ESP,740 kt fixed (2030 tech),740.0,steady_h2_store,market,1425.06,533.68,25.62,145.73,0.0,0.0,1271.93,798.09,508.87,3.35,57.38,75.85,91.89,205.59,29.35,5.41,32.56,5210.36,5210.36,0.0
PRT,740 kt fixed (2030 tech),740.0,steady_h2_store,market,1465.57,548.85,28.88,141.17,0.0,0.0,1271.93,886.44,508.87,7.94,57.38,75.85,91.89,120.26,10.83,5.41,31.18,5252.46,5252.46,0.0
ITA,740 kt fixed (2030 tech),740.0,flex_fuel_store,market,1390.2,703.65,27.03,0.0,1.85,0.0,1370.53,234.47,545.13,0.0,60.66,143.67,91.89,664.98,27.07,5.41,41.61,5308.17,5308.17,-0.0
SWE,740 kt fixed (2030 tech),740.0,flex_fuel_store,market,1872.42,343.89,26.7,0.0,0.95,0.0,1367.84,0.0,549.05,0.0,61.49,153.15,91.89,796.89,27.56,5.41,45.02,5342.28,5342.28,0.0
POL,740 kt fixed (2030 tech),740.0,steady_h2_store,market,2015.08,326.0,24.71,99.0,0.0,0.0,1232.11,732.38,489.99,1.35,55.25,73.04,91.89,235.66,25.85,5.41,33.14,5440.88,5440.88,0.0
CHE,740 kt fixed (2030 tech),740.0,steady_h2_store,market,1957.56,391.77,27.81,150.91,0.0,0.0,1199.74,837.29,474.63,7.95,53.52,140.51,91.89,106.8,15.11,5.41,31.0,5491.91,5491.91,-0.0
BEL,740 kt fixed (2030 tech),740.0,steady_h2_store,market,2026.55,449.97,27.51,141.39,0.0,0.0,1193.36,829.34,471.6,7.76,53.18,139.62,91.89,106.21,10.6,5.41,31.04,5585.44,5585.44,-0.0
NLD,740 kt fixed (2030 tech),740.0,steady_h2_store,market,2159.7,392.95,25.07,88.85,0.0,0.0,1258.54,599.23,502.52,0.0,56.67,74.91,91.89,302.55,13.18,5.41,35.54,5607.01,5607.01,-0.0
CYP,740 kt fixed (2030 tech),740.0,flex_fuel_store,dac,1349.31,693.0,44.0,0.0,2.11,0.0,1452.31,1213.02,583.76,18.7,64.96,153.85,91.89,0.0,9.55,5.41,28.55,5710.43,5710.43,0.0
GRC,740 kt fixed (2030 tech),740.0,steady_h2_store,dac,1560.87,723.06,40.03,166.35,0.0,0.0,1326.59,1108.01,534.76,17.5,60.3,79.71,91.89,0.0,21.4,5.41,28.55,5764.43,5764.43,0.0
AUT,740 kt fixed (2030 tech),740.0,steady_h2_store,market,2130.49,433.71,25.37,157.0,0.0,0.0,1278.67,493.24,512.06,0.0,57.74,151.59,91.89,401.06,7.09,5.41,37.36,5782.69,5782.69,0.0
MLT,740 kt fixed (2030 tech),740.0,flex_fuel_store,dac,1488.51,753.41,43.41,0.0,2.8,0.0,1429.65,1181.61,567.89,18.02,62.8,141.76,91.89,0.0,0.22,5.41,28.55,5815.93,5815.93,0.0
LUX,740 kt fixed (2030 tech),740.0,steady_h2_store,dac,2095.13,468.64,36.95,157.0,0.0,0.0,1225.58,1008.84,486.89,15.93,54.91,144.14,91.89,0.0,0.0,5.41,28.55,5819.86,5819.86,0.0
CZE,740 kt fixed (2030 tech),740.0,steady_h2_store,market,2123.14,533.86,26.07,162.35,0.0,0.0,1292.22,823.73,518.48,3.96,58.47,153.49,91.89,174.18,11.22,5.41,32.39,6010.87,6010.87,-0.0
HUN,740 kt fixed (2030 tech),740.0,flex_fuel_store,market,1893.43,788.32,38.66,0.0,0.9,0.0,1360.67,1094.54,545.66,15.73,61.11,152.21,91.89,25.14,12.03,5.41,29.1,6114.8,6114.8,0.0
IRL,740 kt fixed (2030 tech),740.0,flex_fuel_store,market,2154.18,399.61,38.6,0.0,1.03,0.0,1426.22,1116.82,576.64,14.58,64.58,160.85,91.89,48.61,11.18,5.41,29.65,6139.86,6139.86,-0.0
SVK,740 kt fixed (2030 tech),740.0,steady_h2_store,market,2300.2,421.36,37.17,162.89,0.0,0.0,1292.22,1042.08,518.48,15.29,58.47,153.49,91.89,21.58,10.74,5.41,29.05,6160.32,6160.32,-0.0
ARE,740 kt fixed (2030 tech),740.0,flex_fuel_store,dac,1190.85,973.25,50.76,0.0,3.8,0.0,1679.24,1426.22,685.45,21.75,75.8,171.11,91.89,0.0,26.7,5.41,28.55,6430.79,6430.79,0.0
EST,740 kt fixed (2030 tech),740.0,steady_h2_store,market,2313.11,535.56,37.36,198.11,0.0,0.0,1411.74,1096.97,575.02,13.91,64.84,170.23,91.89,56.88,12.67,5.41,29.86,6613.57,6613.57,-0.0
ROU,740 kt fixed (2030 tech),740.0,steady_h2_store,market,1893.93,990.93,40.2,170.24,0.0,0.0,1440.91,1160.65,588.8,16.18,66.4,87.77,91.89,40.3,15.5,5.41,29.36,6638.46,6638.46,-0.0
SAU,740 kt fixed (2030 tech),740.0,flex_fuel_store,dac,1238.55,1019.16,52.5,0.0,3.97,0.0,1739.26,1484.86,713.63,22.64,78.91,178.15,91.89,0.0,39.72,5.41,28.55,6697.2,6697.2,0.0
HRV,740 kt fixed (2030 tech),740.0,flex_fuel_store,dac,2112.25,902.39,46.0,0.0,1.3,0.0,1524.69,1292.96,623.1,20.17,69.79,173.81,91.89,0.0,14.88,5.41,28.55,6907.19,6907.19,0.0
