country_iso3,country_name,case_group,airport_name,airport_iata,airport_lat,airport_lon,scenario,model_version,annual_saf_tonnes,plant_availability,process_average_power_mw,process_rated_power_mw,best_candidate_id,best_candidate_kind,best_lat,best_lon,distance_to_airport_km,transport_mode,crosses_water,delivered_cost_usd_per_tonne_saf,delivered_cost_eur_per_tonne_saf,delivered_cost_energy_allocated_usd_per_tonne_saf,annual_renewable_cost_usd,annual_process_cost_usd,annual_transport_cost_usd,annual_water_cost_usd,gross_annual_cost_usd,coproduct_credit_usd_per_tonne_saf,annual_coproduct_credit_usd,renewable_cost_share,process_cost_share,transport_cost_share,water_cost_share,wacc_used,wacc_process_used,h2_storage_geology,h2_storage_capex_usd_per_kwh_used,sizing_mode,scenario_year,mandate_synthetic_share,airport_fuel_kt_2024,carbon_source,dac_fraction,co2_delivered_cost_usd_per_t,co2_mean_haul_km,annual_co2_purchase_usd,operating_strategy,synthesis_oversize,synthesis_load_min,fuel_storage_tonnes,fuel_storage_days,wind_mw,solar_mw,renewable_capacity_mw,renewable_capacity_overbuild_ratio,battery_mwh,seasonal_h2_storage_mwh,annual_generation_mwh,annual_demand_mwh,generation_to_demand_ratio,curtailed_energy_frac,electrolyser_oversize_ratio,effective_annual_cf,adequacy_cf_used_for_sizing,selected_main_resource,solar_share,solar_cf_annual,wind_cf_annual,resource_source,raw_nasa_solar_cf_annual,raw_nasa_wind_cf_annual,candidate_validity_note,resource_rank,distance_rank,renewable_capex_usd,process_capex_usd,transport_capex_component_usd,fixed_logistics_cost_usd,total_annual_cost_usd,gross_annual_cost_eur,total_annual_cost_eur,n_candidates_screened_out,n_candidates_total
FRA,France,core_eu27_uk_ch,Paris Charles de Gaulle Airport,CDG,49.0097,2.5479,base,v3,48960.0,0.9,255.7136930160365,284.1263255733739,C00003,grid,48.71490604275789,-2.636778269710688,513.8212478411393,rail,False,5897.9766081450825,5449.1405882652425,3361.8466666426966,111239882.49761258,139338054.8627059,1509380.4499348267,2204012.767931751,254291330.57818508,0.0,0.0,0.38522642162138243,0.48253107667203854,0.00522702124938099,0.007632549879908484,0.04,0.05,salt,0.97416,mandate,2030,0.012,4000.0,market,0.0,115.74054511711235,100.68170359934982,34473604.15659819,steady_h2_store,1.0,1.0,0.0,0.0,677.1191873704207,406.2715124222524,1083.390699792673,4.495300858805805,48.201031869554605,42763.536716154806,2195653.40372195,2111205.19588649,1.0400000000000003,0.023458634328814947,1.1111,0.23135270200274877,0.23135270200274877,mixed,0.375,0.1045027661079539,0.3078430396595046,heuristic,0.1045027661079539,0.3078430396595046,valid,1.0,31.0,1269674107.914568,1067843452.288666,0.0,264971.52,254291330.57818508,234939760.3211852,234939760.3211852,17,58
DEU,Germany,core_eu27_uk_ch,Frankfurt Airport,FRA,50.0379,8.5622,base,v3,43452.0,0.9,226.94590255173244,252.16211394636937,C00009,grid,53.13163577760156,8.015620732794213,467.19706919362136,rail,False,6060.769677132552,5599.545104702765,3454.638715965554,104524289.19429684,126620284.6790188,1254297.6839833078,1956061.3315394295,234354932.88883835,0.0,0.0,0.3968986958107792,0.48080141218539124,0.00476280794415217,0.007427538588382538,0.04,0.05,salt,0.97416,mandate,2030,0.012,3550.0,market,0.0,109.69655582906388,54.14938892787538,28997631.121925276,steady_h2_store,1.0,1.0,0.0,0.0,645.8689272543323,347.7755762138713,993.6445034682037,4.645541379933534,42.7784157842297,43890.02777794587,1948642.3958032297,1873694.6113492593,1.04,0.029786369305727818,1.1111,0.22387057071373667,0.22387057071373667,mixed,0.35000000000000003,0.07999999999999999,0.30175022548604186,heuristic,0.07999999999999999,0.30175022548604186,valid,2.0,29.0,1191067846.1186311,968794470.4934218,0.0,235162.224,234354932.88883835,216520522.49599776,216520522.49599776,2,40
ESP,Spain,core_eu27_uk_ch,Adolfo Suarez Madrid-Barajas Airport,MAD,40.4722,-3.5608,base,v3,30600.0,0.9,159.8210581350228,177.5789534833587,C00010,grid,36.521765728962976,-4.672392476667529,607.20647423759,rail,False,6196.3205889472265,5724.7805921283425,3531.9027356999186,63167052.22728393,101953105.77362019,1063648.1823805731,1377507.9799573447,167561314.16324204,0.0,0.0,0.33314653799672855,0.5377063362761306,0.005609739525783112,0.00726505351135314,0.052,0.062,salt,0.97416,mandate,2030,0.012,2500.0,market,0.0,118.42693978992105,121.3640966826885,22046095.858543098,steady_h2_store,1.0,1.0,0.0,0.0,293.9619161054306,324.90527569547595,618.8671918009065,4.108573897592791,30.12564491847162,51259.142180365605,1372283.3773262184,1319503.2474290559,1.0400000000000003,0.030181521932363533,1.1111,0.2531291941978541,0.2531291941978541,mixed,0.525,0.19907751759365078,0.3128228675415686,heuristic,0.19907751759365078,0.3128228675415686,valid,1.0,47.0,668551320.4823248,728912328.992182,0.0,165607.2,167561314.16324204,154809898.15541932,154809898.15541932,4,53
GBR,United Kingdom,core_eu27_uk_ch,Heathrow Airport,LHR,51.47,-0.4543,base,v3,31620.0,0.9,165.1484267395236,183.49825193280398,C00002,grid,53.244897736809385,-4.605299126473892,464.44011218767224,rail,False,6390.175563194066,5903.883202834998,3642.4000710206174,73149135.61997198,105738014.97677594,909082.3502488044,1423424.9126225894,181219657.85961935,0.0,0.0,0.36202164952859456,0.5233069437572437,0.004499130293270987,0.007044657882560538,0.054,0.064,salt,0.97416,mandate,2030,0.005,6200.0,market,0.0,108.32483125047676,43.588562842423975,20837693.44857705,steady_h2_store,1.0,1.0,0.0,0.0,399.81226918356936,215.28352956038356,615.095798743953,3.9518091672088285,31.129833082420678,39262.56876692529,1418026.156570425,1363486.6890100245,1.0399999999999996,0.035411880360601965,1.1111,0.26317060262668357,0.26317060262668357,mixed,0.35000000000000003,0.08,0.36234100187009194,heuristic,0.08,0.36234100187009194,valid,1.0,15.0,750043645.2101879,748492628.743571,0.0,171127.44,181219657.85961935,167428841.89650232,167428841.89650232,6,25
ARE,United Arab Emirates,renewable_rich_reference,Dubai International Airport,DXB,25.2532,55.3657,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00000,grid,23.59285336004176,51.82473534312471,544.3528531076598,rail,False,6430.79316828002,5941.409808173911,3665.552105919611,1641810768.4254282,3072081531.2340107,23764379.311640702,21130265.55613543,4758786944.527215,0.0,0.0,0.3450061512658331,0.6455597964449786,0.004993789297285233,0.0044402629919030176,0.08,0.09,rock,2.05656,mandate,2030,,6300.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.5354949279794934,66831.14510372511,32.96401076062117,5039.064436759158,11757.817019104705,16796.881455863862,4.3459463652256805,1287.7644455007533,0.0,36565553.903099015,33856994.35472131,1.08,0.07407407407407389,1.2777777777777777,0.24850743871154904,0.24850743871154904,solar,0.7000000000000001,0.2309697051218035,0.28899691027090074,heuristic,0.2309697051218035,0.28899691027090074,valid,1.0,12.0,14271044475.356796,20488454610.005257,0.0,4004880.0,4758786944.527215,4396643258.048695,4396643258.048695,0,12
NLD,Netherlands,core_eu27_uk_ch,Amsterdam Schiphol Airport,AMS,52.3105,4.7683,base,v3,36108.0,0.9,188.58884859932695,209.54316511036328,C00004,quartile,51.40436483395223,4.282257793166596,143.29209469487478,road,False,6524.399550941928,6027.892745115248,3718.9077440368987,94368853.88275224,115097663.35314873,671444.3598461346,1625459.4163496664,211763421.0120968,0.0,0.0,0.4005757897541681,0.4885651939127087,0.0028501390411662685,0.006899730818248516,0.05,0.060000000000000005,salt,0.97416,mandate,2030,0.012,2950.0,market,0.0,108.4354373651484,44.44011275212799,23819597.97331438,steady_h2_store,1.0,1.0,0.0,0.0,539.497273727088,290.4985320068936,829.9958057339816,4.669684436295433,35.54826100379651,37949.734944115546,1619294.3852449378,1557013.831966286,1.0400000000000003,0.03085692663071247,1.1111,0.22271312209376096,0.22271312209376096,mixed,0.35000000000000003,0.08000000000000002,0.2999762864881658,heuristic,0.08000000000000002,0.2999762864881658,valid,1.0,3.0,996121340.9621425,833438295.4629731,0.0,195416.49599999998,211763421.0120968,195648224.67307624,195648224.67307624,0,6
PRT,Portugal,core_eu27_uk_ch,Lisbon Airport,LIS,38.7742,-9.1342,base,v3,12852.0,0.9,67.12484441670959,74.58316046301066,C00001,grid,38.05409081143069,-8.737689830918631,117.72912190344395,road,False,6616.059277443947,6112.577166430463,3771.1537881430495,26918132.47335036,48675304.95474594,208762.10629138048,578553.3515820847,76380752.88596976,0.0,0.0,0.31657369228404786,0.572451340293817,0.0024551699811673996,0.006804141070149623,0.052,0.062,salt,0.97416,mandate,2030,0.012,1050.0,market,0.0,110.61841610486557,61.246736456528495,8648840.94773985,steady_h2_store,1.0,1.0,0.0,0.0,125.74922350289279,138.98598387161837,264.73520737451116,4.184620273033767,12.652770865758082,20774.681679162066,576359.0184770118,554191.3639202035,1.0400000000000003,0.030156717913660168,1.1111,0.24852912143591482,0.24852912143591482,mixed,0.525,0.18714657004765037,0.31633065190423043,heuristic,0.18714657004765037,0.31633065190423043,valid,1.0,2.0,284817760.5512806,307309768.1859441,0.0,69555.024,76380752.88596976,70568177.59134747,70568177.59134747,0,10
DNK,Denmark,core_eu27_uk_ch,Copenhagen Airport,CPH,55.6181,12.6561,base,v3,9792.0,0.9,51.142738603207306,56.82526511467478,C00002,grid,57.07493741267669,8.867060927090545,383.5517840307909,rail,False,6696.347687646564,6186.755628616661,3816.918181958541,21106396.25319132,37457893.19335379,248181.89335410058,440802.55358635023,59253273.89348556,0.0,0.0,0.3218879266896187,0.5712601731499644,0.003784954766097339,0.006722560230145684,0.04,0.05,salt,0.97416,mandate,2030,0.012,800.0,market,0.0,106.04852847799401,26.06344295080385,6317362.663949596,steady_h2_store,1.0,1.0,0.0,0.0,130.75804806930586,62.95757870003616,193.715626769342,4.01891036884004,9.640206373910917,12161.59919091769,439130.6807443897,422241.03917729785,1.0399999999999998,0.03532676483139364,1.1111,0.2587766097157749,0.2587766097157749,mixed,0.325,0.08,0.345365257834982,heuristic,0.08,0.345365257834982,valid,1.0,6.0,240334347.16680786,234140775.7607193,0.0,52994.304,59253273.89348556,54744099.750191316,54744099.750191316,0,7
SAU,Saudi Arabia,renewable_rich_reference,King Khalid International Airport,RUH,24.9576,46.6988,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00180,grid,22.922490297768356,52.50902137202645,853.5764681263715,rail,False,6697.1974484948005,6187.5407226643465,3817.402545642036,1712488561.0821927,3188910878.937058,33396406.31076622,21130265.55613543,4955926111.886152,0.0,0.0,0.34554360222905844,0.6434540804167489,0.006738681238743497,0.00426363611544918,0.087,0.09699999999999999,rock,2.05656,mandate,2030,,1100.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.5384331136076388,66104.29290741924,32.60549582595679,5004.087209024603,11676.203487724079,16680.29069674868,4.315780218781953,1286.208911093167,0.0,36565553.903099015,33856994.35472131,1.08,0.074074074074074,1.2777777777777777,0.25024443907034954,0.25024443907034954,solar,0.7000000000000001,0.2309697051218035,0.2948010248865795,heuristic,0.2309697051218035,0.2948010248865795,valid,4.0,101.0,14173405863.633692,20488454610.005257,0.0,4004880.0,4955926111.886152,4578780134.771616,4578780134.771616,0,194
ITA,Italy,core_eu27_uk_ch,Rome Fiumicino Airport,FCO,41.8003,12.2389,base,v3,17136.0,0.9,89.49979255561279,99.44421395068088,C00024,grid,40.99886752802441,17.03470691128831,553.176399042612,rail,False,6826.909499225953,6307.381686334858,3891.338414558793,37856334.54912757,66360146.27247409,556670.4751133291,771404.4687761129,105544555.7654911,0.0,0.0,0.32359735400372747,0.5672489954674658,0.004758439900326338,0.006593994055041283,0.049,0.059000000000000004,rock,2.05656,mandate,2030,0.012,1400.0,market,0.0,109.75104014551854,54.568860445295485,11441365.41324484,flex_fuel_store,1.05,0.822847938180535,526.1044126721076,11.206122235371108,198.84786384657264,198.84786384657264,397.6957276931453,4.714726899497811,17.65156499422195,0.0,798035.5640450931,738921.8185602714,1.08,0.07407407407407407,1.1666666666666667,0.22906947168351072,0.22906947168351072,mixed,0.5,0.1666741292008939,0.29150183504972166,heuristic,0.1666741292008939,0.29150183504972166,valid,1.0,16.0,406313014.44268525,456819898.21528345,0.0,92740.03199999999,105544555.7654911,97512615.07173723,97512615.07173723,7,28
