country_iso3,country_name,case_group,airport_name,airport_iata,airport_lat,airport_lon,scenario,model_version,annual_saf_tonnes,plant_availability,process_average_power_mw,process_rated_power_mw,best_candidate_id,best_candidate_kind,best_lat,best_lon,distance_to_airport_km,transport_mode,crosses_water,delivered_cost_usd_per_tonne_saf,delivered_cost_eur_per_tonne_saf,delivered_cost_energy_allocated_usd_per_tonne_saf,annual_renewable_cost_usd,annual_process_cost_usd,annual_transport_cost_usd,annual_water_cost_usd,gross_annual_cost_usd,coproduct_credit_usd_per_tonne_saf,annual_coproduct_credit_usd,renewable_cost_share,process_cost_share,transport_cost_share,water_cost_share,wacc_used,wacc_process_used,h2_storage_geology,h2_storage_capex_usd_per_kwh_used,sizing_mode,scenario_year,mandate_synthetic_share,airport_fuel_kt_2024,carbon_source,dac_fraction,co2_delivered_cost_usd_per_t,co2_mean_haul_km,annual_co2_purchase_usd,operating_strategy,synthesis_oversize,synthesis_load_min,fuel_storage_tonnes,fuel_storage_days,wind_mw,solar_mw,renewable_capacity_mw,renewable_capacity_overbuild_ratio,battery_mwh,seasonal_h2_storage_mwh,annual_generation_mwh,annual_demand_mwh,generation_to_demand_ratio,curtailed_energy_frac,electrolyser_oversize_ratio,effective_annual_cf,adequacy_cf_used_for_sizing,selected_main_resource,solar_share,solar_cf_annual,wind_cf_annual,resource_source,raw_nasa_solar_cf_annual,raw_nasa_wind_cf_annual,candidate_validity_note,resource_rank,distance_rank,renewable_capex_usd,process_capex_usd,transport_capex_component_usd,fixed_logistics_cost_usd,total_annual_cost_usd,gross_annual_cost_eur,total_annual_cost_eur,n_candidates_screened_out,n_candidates_total
ESP,Spain,core_eu27_uk_ch,Adolfo Suarez Madrid-Barajas Airport,MAD,40.4722,-3.5608,base,v3,875000.0,0.9,4016.181573868187,4462.423970964653,C00010,grid,36.521765728962976,-4.672392476667529,607.20647423759,rail,False,2821.410307134187,2606.7009827612756,1608.2038750664865,1190406090.644779,1224529650.0398743,30414776.45696083,23383501.600799553,2468734018.7424135,0.0,0.0,0.4821929303065132,0.4960152210579803,0.012319989203395141,0.009471859432111377,0.052,0.062,salt,0.97416,mandate,2050,0.35,2500.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.5972439055151951,69809.54194502695,29.120551782782673,6350.498296769612,11793.782551143566,18144.280847913178,4.517793957815883,1082.6619180425187,0.0,37996290.63405215,35181750.58708532,1.08,0.07407407407407395,1.2777777777777777,0.2390547267282025,0.2390547267282025,solar,0.65,0.19907751759365078,0.3128228675415686,heuristic,0.19907751759365078,0.3128228675415686,valid,1.0,47.0,12592340507.70628,9340598739.328457,0.0,4735500.0,2468734018.7424135,2280863359.9161158,2280863359.9161158,4,53
FRA,France,core_eu27_uk_ch,Paris Charles de Gaulle Airport,CDG,49.0097,2.5479,base,v3,1400000.0,0.9,6425.8905181891,7139.878353543443,C00003,grid,48.71490604275789,-2.636778269710688,513.8212478411393,rail,False,2875.7353371047043,2656.8918779510363,1639.1691421496812,2199280904.3020773,1746174576.4004524,43160388.6827769,37413602.56127929,4026029471.946586,0.0,0.0,0.5462654756073418,0.4337212602559952,0.010720335999405597,0.009292928137257227,0.04,0.05,salt,0.97416,mandate,2050,0.35,4000.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.7200473227518839,68715.52430791745,17.915118837421335,13833.984327039401,20750.97649055911,34584.96081759851,5.382127305110858,1722.8758475568154,0.0,56290800.939336516,56290800.93933651,1.0000000000000002,0.0,1.2777777777777777,0.18580013873889642,0.18580013873889642,solar,0.6000000000000001,0.1045027661079539,0.3078430396595046,heuristic,0.1045027661079539,0.3078430396595046,valid,1.0,31.0,25414757321.09471,14384358339.11639,0.0,7576800.0,4026029471.946586,3719648629.131451,3719648629.131451,17,58
PRT,Portugal,core_eu27_uk_ch,Lisbon Airport,LIS,38.7742,-9.1342,base,v3,367500.0,0.9,1686.7962610246386,1874.218067805154,C00001,grid,38.05409081143069,-8.737689830918631,117.72912190344395,road,False,2974.34795793895,2748.000078339796,1695.3783360252014,513688003.69896734,563594295.4978963,5969504.673364637,9821070.672335813,1093072874.5425642,0.0,0.0,0.46994854200726427,0.515605417190279,0.00546121380595305,0.008984826996503591,0.052,0.062,salt,0.97416,mandate,2050,0.35,1050.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.6089302785293224,28572.78016174108,28.378407507579574,2742.114756263333,5092.4988330604765,7834.61358932381,4.644670948324666,455.1117667340814,0.0,15958442.066301903,14776335.246575834,1.08,0.07407407407407393,1.2777777777777777,0.2325245452295294,0.2325245452295294,solar,0.65,0.18714657004765037,0.31633065190423043,heuristic,0.18714657004765037,0.31633065190423043,valid,1.0,2.0,5434512955.575271,4220520158.9863076,0.0,1988910.0,1093072874.5425642,1009890028.789875,1009890028.789875,0,10
DEU,Germany,core_eu27_uk_ch,Frankfurt Airport,FRA,50.0379,8.5622,base,v3,1242500.0,0.9,5702.977834892826,6336.642038769807,C00025,grid,47.73059381903431,12.227827356846896,500.77912348083663,rail,False,2989.869796077652,2762.340704596143,1704.2257837642617,2076064976.8852732,1568020943.2235405,37622729.24453379,33204572.273135368,3714913221.626483,0.0,0.0,0.5588461568360188,0.4220881753294418,0.010127485354304348,0.008938182480235047,0.04,0.05,salt,0.97416,mandate,2050,0.35,3550.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.6934160287751926,70792.59467539677,20.796214934824807,12242.994956183395,22736.99063291202,34979.98558909541,6.133635199329647,1548.6491536540339,0.0,49958085.833661154,49958085.833661154,1.0,0.0,1.2777777777777777,0.16303545409894793,0.16303545409894793,solar,0.65,0.09291238943908448,0.29328756940628303,heuristic,0.09291238943908448,0.29328756940628303,valid,1.0,32.0,24156401700.280502,12889564238.63125,0.0,6724410.0,3714913221.626483,3432208325.4607077,3432208325.4607077,2,40
DNK,Denmark,core_eu27_uk_ch,Copenhagen Airport,CPH,55.6181,12.6561,base,v3,280000.0,0.9,1285.17810363782,1427.9756707086888,C00002,grid,57.07493741267669,8.867060927090545,383.5517840307909,rail,False,3066.50037536655,2833.139696801156,1747.9052139589335,466452484.72679555,377588195.39675784,7096704.466824772,7482720.512255857,858620105.1026341,0.0,0.0,0.5432582837913383,0.43976165146007534,0.008265243761065293,0.008714820987520924,0.04,0.05,salt,0.97416,mandate,2050,0.35,800.0,dac,1.0,0.0,0.0,0.0,steady_h2_store,1.0,1.0,0.0,0.0,3307.9661483018476,2445.018457440496,5752.984605742344,4.476410381921361,303.5201220582717,230742.47515734594,11708486.595381996,11258160.187867302,1.04,0.026669315206021876,1.1111,0.23232901170102555,0.23232901170102555,mixed,0.42500000000000004,0.08,0.345365257834982,heuristic,0.08,0.345365257834982,valid,1.0,6.0,5322882304.495365,2974671783.3027315,0.0,1515360.0,858620105.1026341,793279115.1043236,793279115.1043236,0,7
ITA,Italy,core_eu27_uk_ch,Rome Fiumicino Airport,FCO,41.8003,12.2389,base,v3,489999.99999999994,0.9,2249.0616813661845,2498.957423740205,C00024,grid,40.99886752802441,17.03470691128831,553.176399042612,rail,False,3101.004359702167,2865.0179279288323,1767.5724850302352,737702732.5219969,752776777.9426707,15917864.892946502,13094760.896447748,1519492136.2540617,0.0,0.0,0.4854929584174246,0.49541340819206786,0.010475779711626627,0.008617853678880955,0.049,0.059000000000000004,rock,2.05656,mandate,2050,0.35,1400.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.615442319943756,37429.31662968929,27.881021571095086,4038.6642431578643,7500.376451578892,11539.040694736756,5.130602148593544,607.120547021163,0.0,21277922.7550692,19701780.328767776,1.08,0.07407407407407426,1.2777777777777777,0.21050160755420516,0.21050160755420516,solar,0.65,0.1666741292008939,0.29150183504972166,heuristic,0.1666741292008939,0.29150183504972166,valid,1.0,16.0,7991075613.181257,5801410275.86329,0.0,2651879.9999999995,1519492136.2540617,1403858784.6851277,1403858784.6851277,7,28
CHE,Switzerland,core_eu27_uk_ch,Zurich Airport,ZRH,47.4582,8.5555,base,v3,350000.0,0.9,1606.472629547275,1784.9695883858608,C00000,grid,46.2106357891564,6.675290859156185,268.97260094085146,rail,False,3165.6687173900527,2924.76132799667,1804.43116891233,556393398.8468875,535054427.92718315,7182823.672127917,9353400.640319822,1107984051.0865185,0.0,0.0,0.5021673356229933,0.48290805937368375,0.0064827861602197705,0.008441818843103048,0.041,0.051000000000000004,rock,2.05656,mandate,2050,0.35,1000.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.6993888526877193,19250.283325859844,20.075295468396693,3471.683380706208,5207.525071059314,8679.208451765522,5.402649439605726,434.3807538120641,0.0,14072700.234834127,14072700.234834127,1.0,0.0,1.2777777777777777,0.18509437104491788,0.18509437104491788,solar,0.6000000000000001,0.11210047837918415,0.2946255592274283,heuristic,0.11210047837918415,0.2946255592274283,valid,1.0,8.0,6379028924.242987,4282191240.774423,0.0,1894200.0,1107984051.0865185,1023666464.7988346,1023666464.7988346,0,8
GRC,Greece,core_eu27_uk_ch,Athens International Airport,ATH,37.9364,23.9475,base,v3,251999.99999999997,0.9,1156.6602932740377,1285.1781036378197,C00006,grid,36.859832516970414,22.554633818934764,231.74455599907944,rail,False,3198.9195210998278,2955.481745544131,1823.3841270269018,407786212.6525533,386830322.3909216,4776735.812651354,6734448.46103027,806127719.3171566,0.0,0.0,0.5058580704779327,0.4798623259334047,0.0059255322676381415,0.008354071321024406,0.06,0.06999999999999999,salt,0.97416,mandate,2050,0.35,720.0,dac,1.0,0.0,0.0,0.0,steady_h2_store,1.0,1.0,0.0,0.0,156.96551311591764,6121.65501152081,6278.620524636728,5.4282320929894565,443.42095588945233,1434751.044045993,11348225.469370238,10132344.16908057,1.1199999999999999,0.09557842729479993,1.45,0.20632868691198306,0.20632868691198306,solar,0.9750000000000001,0.20444418677381773,0.2594679377250223,heuristic,0.20444418677381773,0.2594679377250223,valid,2.0,3.0,3991382462.776591,2726981914.710387,0.0,1363823.9999999998,806127719.3171566,744781399.877121,744781399.877121,0,15
FIN,Finland,core_eu27_uk_ch,Helsinki Airport,HEL,60.3172,24.9633,base,v3,220500.0,0.9,1012.0777566147833,1124.5308406830925,C00027,grid,60.6560082457808,28.034581451540234,232.72240814589398,rail,False,3206.555227328625,2962.5363745289164,1827.736479577316,350828609.4782112,346135455.8953503,4188719.848998767,5892642.403401488,707045427.6259618,0.0,0.0,0.4961896304968471,0.4895519331163279,0.005924258449790394,0.008334177937034606,0.042,0.052000000000000005,rock,2.05656,mandate,2050,0.35,630.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.05,0.8520958464993175,5872.827810495179,9.721461001499955,2659.4121562633177,1431.9911610648637,4091.403317328182,4.042578043621059,249.98268096020976,0.0,9575065.239781141,8865801.1479455,1.08,0.07407407407407413,1.1666666666666667,0.2671562523583617,0.2671562523583617,mixed,0.35000000000000003,0.07999999999999999,0.36847011207897773,heuristic,0.07999999999999999,0.36847011207897773,valid,2.0,5.0,3899673624.4058456,2716614300.258593,0.0,1193346.0,707045427.6259618,653239270.5836262,653239270.5836262,14,35
NLD,Netherlands,core_eu27_uk_ch,Amsterdam Schiphol Airport,AMS,52.3105,4.7683,base,v3,1032499.9999999999,0.9,4739.094257164461,5265.6602857382895,C00004,quartile,51.40436483395223,4.282257793166596,143.29209469487478,road,False,3273.1800541260855,3024.0910520070906,1865.7126308518687,2078393185.5917323,1254372890.5330899,19199797.871417243,27592531.88894347,3379558405.885183,0.0,0.0,0.6149895743693632,0.3711647321581179,0.0056811558095822825,0.008164537662936577,0.05,0.060000000000000005,salt,0.97416,mandate,2050,0.35,2950.0,dac,1.0,0.0,0.0,0.0,steady_h2_store,1.0,1.0,0.0,0.0,13738.877932840462,10154.822819925559,23893.70075276602,5.041828555455304,1119.2304500898767,831561.89587912,43175044.32047111,41514465.692760676,1.04,0.02374161019517841,1.1111,0.20627436822989761,0.20627436822989761,mixed,0.42500000000000004,0.08000000000000002,0.2999762864881658,heuristic,0.08000000000000002,0.2999762864881658,valid,3.0,3.0,21958623190.736946,9636246072.949121,0.0,5587889.999999999,3379558405.885183,3122374011.1973205,3122374011.1973205,0,6
