country_iso3,country_name,case_group,airport_name,airport_iata,airport_lat,airport_lon,scenario,model_version,annual_saf_tonnes,plant_availability,process_average_power_mw,process_rated_power_mw,best_candidate_id,best_candidate_kind,best_lat,best_lon,distance_to_airport_km,transport_mode,crosses_water,delivered_cost_usd_per_tonne_saf,delivered_cost_eur_per_tonne_saf,delivered_cost_energy_allocated_usd_per_tonne_saf,annual_renewable_cost_usd,annual_process_cost_usd,annual_transport_cost_usd,annual_water_cost_usd,gross_annual_cost_usd,coproduct_credit_usd_per_tonne_saf,annual_coproduct_credit_usd,renewable_cost_share,process_cost_share,transport_cost_share,water_cost_share,wacc_used,wacc_process_used,h2_storage_geology,h2_storage_capex_usd_per_kwh_used,sizing_mode,scenario_year,mandate_synthetic_share,airport_fuel_kt_2024,carbon_source,dac_fraction,co2_delivered_cost_usd_per_t,co2_mean_haul_km,annual_co2_purchase_usd,operating_strategy,synthesis_oversize,synthesis_load_min,fuel_storage_tonnes,fuel_storage_days,wind_mw,solar_mw,renewable_capacity_mw,renewable_capacity_overbuild_ratio,battery_mwh,seasonal_h2_storage_mwh,annual_generation_mwh,annual_demand_mwh,generation_to_demand_ratio,curtailed_energy_frac,electrolyser_oversize_ratio,effective_annual_cf,adequacy_cf_used_for_sizing,selected_main_resource,solar_share,solar_cf_annual,wind_cf_annual,resource_source,raw_nasa_solar_cf_annual,raw_nasa_wind_cf_annual,candidate_validity_note,resource_rank,distance_rank,renewable_capex_usd,process_capex_usd,transport_capex_component_usd,fixed_logistics_cost_usd,total_annual_cost_usd,gross_annual_cost_eur,total_annual_cost_eur,n_candidates_screened_out,n_candidates_total
FIN,Finland,core_eu27_uk_ch,Helsinki Airport,HEL,60.3172,24.9633,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00027,grid,60.6560082457808,28.034581451540234,232.72240814589398,rail,False,4994.59746460153,4614.508597545354,2846.920554822872,1526667590.4673722,1517138294.0217612,14057381.806163661,33312284.4826286,3091175550.777926,0.0,0.0,0.4130591756521036,0.41048090428579814,0.003803401982813585,0.009013058804287892,0.042,0.052000000000000005,rock,2.05656,fixed,,,,market,0.0,134.35053060476292,243.95887691521102,604826573.0272068,flex_fuel_store,1.05,0.8520958464993177,19709.263400301337,9.721461001499984,9571.685491081602,5153.984495197787,14725.669986279388,4.042578043621059,761.9360407652913,0.0,34462320.10932358,31909555.656781096,1.08,0.07407407407407424,1.1666666666666667,0.2671562523583617,0.2671562523583617,mixed,0.35000000000000003,0.07999999999999999,0.36847011207897773,heuristic,0.07999999999999999,0.36847011207897773,valid,3.0,5.0,17051527264.315903,11974932235.49398,0.0,4004880.0,3091175550.777926,2855937091.363726,2855937091.363726,14,35
DNK,Denmark,core_eu27_uk_ch,Copenhagen Airport,CPH,55.6181,12.6561,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00002,grid,57.07493741267669,8.867060927090545,383.5517840307909,rail,False,4997.856372601678,4617.519502646691,2848.7781323829563,1626677579.811015,1797952559.3756657,18755576.09089404,26463791.55613543,3469849506.8337107,0.0,0.0,0.43983115596142297,0.48614154542283144,0.005071248792731712,0.007155443817335618,0.04,0.05,salt,0.97416,fixed,,,,market,0.5621804536519991,115.96357630214712,102.39880745062757,228564208.89153197,steady_h2_store,1.0,1.0,0.0,0.0,10077.569975595909,4852.163321583215,14929.733297179124,4.01891036884004,742.9741858855258,937298.8406546387,33843960.115457445,32542269.341786005,1.04,0.03532676483139363,1.1111,0.2587766097157749,0.2587766097157749,mixed,0.325,0.08,0.345365257834982,heuristic,0.08,0.345365257834982,valid,1.0,6.0,18522654910.15083,14696685858.750637,0.0,4004880.0,3469849506.8337107,3205793959.3636656,3205793959.3636656,0,7
DEU,Germany,core_eu27_uk_ch,Frankfurt Airport,FRA,50.0379,8.5622,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00009,grid,53.13163577760156,8.015620732794213,467.19706919362136,rail,False,5136.150588966461,4745.289529146114,2927.6058357108827,1780078569.5429363,1391441401.5837646,21361048.65478339,33312284.4826286,3226193304.264113,0.0,0.0,0.46834911453549966,0.36609639569287106,0.005620217216359346,0.008764657474978633,0.04,0.05,salt,0.97416,fixed,,,,market,0.0,127.626981489092,192.19467147921284,574558131.5710688,steady_h2_store,1.0,1.0,0.0,0.0,10999.332738842999,5922.71762860777,16922.05036745077,4.645541379933534,728.5286679630393,747459.7384626701,33185937.883052334,31909555.656781096,1.0399999999999998,0.029786369305727808,1.1111,0.22387057071373667,0.22387057071373667,mixed,0.35000000000000003,0.07999999999999999,0.30175022548604186,heuristic,0.07999999999999999,0.30175022548604186,valid,2.0,29.0,20284226413.69297,11032853910.481352,0.0,4004880.0,3226193304.264113,2980679993.809614,2980679993.809614,2,40
FRA,France,core_eu27_uk_ch,Paris Charles de Gaulle Airport,CDG,49.0097,2.5479,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00003,grid,48.71490604275789,-2.636778269710688,513.8212478411393,rail,False,5154.673500258282,4762.402846888627,2938.1638951472205,1705840299.8111873,1690412967.291205,22813348.303753506,28275510.918794125,3447342126.3249397,0.0,0.0,0.4472038033493174,0.4431593674315857,0.005980756891310699,0.00741271971703887,0.04,0.05,salt,0.97416,fixed,,,,market,0.4134596731647343,139.03184,280.0,367116263.86618835,steady_h2_store,1.0,1.0,0.0,0.0,10383.480921212367,6230.08855272742,16613.569473939788,4.4953008588058045,739.152728405069,655769.8790668695,33669885.08430768,32374889.504141994,1.04,0.023458634328814867,1.1111,0.23135270200274877,0.23135270200274877,mixed,0.375,0.1045027661079539,0.3078430396595046,heuristic,0.1045027661079539,0.3078430396595046,valid,1.0,31.0,19470186521.94254,13727445566.988235,0.0,4004880.0,3447342126.3249397,3184999390.511612,3184999390.511612,17,58
GBR,United Kingdom,core_eu27_uk_ch,Heathrow Airport,LHR,51.47,-0.4543,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00002,grid,53.244897736809385,-4.605299126473892,464.44011218767224,rail,False,5175.502040939871,4781.646335624348,2950.0361633357265,1711902604.6419754,1500345429.618983,21275172.017207947,33312284.4826286,3266835490.7607956,0.0,0.0,0.44698695505580777,0.3917482415756605,0.005555061562774569,0.008698016211008158,0.054,0.064,salt,0.97416,fixed,,,,market,0.0,125.0675670473214,172.48989165528297,563036019.5347091,steady_h2_store,1.0,1.0,0.0,0.0,9356.770373050012,5038.260970103854,14395.031343153867,3.951809167208829,728.5286679630393,918858.3455890152,33185937.883052334,31909555.656781096,1.0399999999999998,0.03541188036060197,1.1111,0.26317060262668357,0.26317060262668357,mixed,0.35000000000000003,0.08,0.36234100187009194,heuristic,0.08,0.36234100187009194,valid,1.0,15.0,17553203588.094215,11032853910.481352,0.0,4004880.0,3266835490.7607956,3018229309.9138994,3018229309.9138994,6,25
ESP,Spain,core_eu27_uk_ch,Adolfo Suarez Madrid-Barajas Airport,MAD,40.4722,-3.5608,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00010,grid,36.521765728962976,-4.672392476667529,607.20647423759,rail,False,5210.3595003294195,4813.8511423543505,2969.904915187769,1576270336.39058,2077445957.3725524,25722210.946458302,24091318.056304675,3703529822.765895,0.0,0.0,0.40881920893208734,0.5388033976690684,0.006671275661505372,0.006248289625536247,0.052,0.062,salt,0.97416,fixed,,,,market,0.7569325316241613,139.03184,280.0,152136207.47787535,steady_h2_store,1.0,1.0,0.0,0.0,7335.524328700341,8107.68478435301,15443.209113053352,4.108573897592791,751.7552074261838,1279120.4027855205,34243953.2086775,32926878.08526682,1.0400000000000003,0.030181521932363568,1.1111,0.2531291941978541,0.2531291941978541,mixed,0.525,0.19907751759365078,0.3128228675415686,heuristic,0.19907751759365078,0.3128228675415686,valid,1.0,47.0,16683026636.089594,15986630671.335909,0.0,4004880.0,3703529822.765895,3421691203.2534103,3421691203.2534103,4,53
PRT,Portugal,core_eu27_uk_ch,Lisbon Airport,LIS,38.7742,-9.1342,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00001,grid,38.05409081143069,-8.737689830918631,117.72912190344395,road,False,5252.460431360912,4852.748192534346,2993.9024458757194,1616514483.9663877,2146222037.5057049,12020227.097387299,23070467.55613543,3797827216.1256156,0.0,0.0,0.4158963329536235,0.5521793240681144,0.0030925602094247014,0.005935562564573827,0.052,0.062,salt,0.97416,fixed,,,,market,0.8407323111458566,124.11925115963646,165.18886394152238,88993503.08145934,steady_h2_store,1.0,1.0,0.0,0.0,7544.059973092941,8338.171549207987,15882.231522300928,4.184620273033766,847.3525082385688,1239111.3835968077,34577446.12891017,33247544.354721304,1.0400000000000005,0.03046985435969471,1.1111,0.24852912143591482,0.24852912143591482,mixed,0.525,0.18714657004765037,0.31633065190423043,heuristic,0.18714657004765037,0.31633065190423043,valid,1.0,2.0,17098161248.089924,16561107465.617565,0.0,4004880.0,3797827216.1256156,3508812564.9784565,3508812564.9784565,0,10
ITA,Italy,core_eu27_uk_ch,Rome Fiumicino Airport,FCO,41.8003,12.2389,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00024,grid,40.99886752802441,17.03470691128831,553.176399042612,rail,False,5308.167939623856,4904.216359418481,3025.655725585598,1570826860.897931,1810303348.2854304,24039224.532204926,30790685.55613543,3435960119.2717023,0.0,0.0,0.39990049775324943,0.4608663297557132,0.00611989653050345,0.007838680879841685,0.049,0.059000000000000004,rock,2.05656,fixed,,,,market,0.20699351574715208,137.83869917365593,270.814079619795,492084156.0499517,flex_fuel_store,1.1,0.6972013628741359,42053.66629957987,20.742686755873855,7315.076798742514,10972.615198113775,18287.69199685629,4.984058038169935,805.9708241549029,0.0,34713920.88912888,32142519.341786,1.0799999999999998,0.07407407407407399,1.2222222222222223,0.216690895597307,0.216690895597307,solar,0.6000000000000001,0.1666741292008939,0.29150183504972166,heuristic,0.1666741292008939,0.29150183504972166,valid,1.0,16.0,17046520201.097198,13930871970.140293,0.0,4004880.0,3435960119.2717023,3174483554.195126,3174483554.195126,7,28
SWE,Sweden,core_eu27_uk_ch,Stockholm Arlanda Airport,ARN,59.6519,17.9186,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00003,grid,62.12806283081116,12.088549580280034,564.8141315122276,rail,False,5342.278259037285,4935.7308835245485,3045.098607651252,1660533828.617676,1645339983.9717362,24401729.03674981,33312284.4826286,3363587826.108791,0.0,0.0,0.42003889061209393,0.4161955448522994,0.006172518148664113,0.008426479952826926,0.057,0.067,rock,2.05656,fixed,,,,market,0.0,130.99002958416793,218.08657908481095,589698085.5788003,flex_fuel_store,1.05,0.8496830829730244,20122.21824170193,9.92514818678541,9295.403256602622,5005.217138170643,14300.620394773265,3.92589091511188,762.63600281141,0.0,34462320.10932359,31909555.656781096,1.0800000000000003,0.07407407407407411,1.1666666666666667,0.27509679289426264,0.27509679289426264,mixed,0.35000000000000003,0.08,0.3807096503996088,heuristic,0.08,0.3807096503996088,valid,1.0,22.0,16564378012.09791,11974932235.49398,0.0,4004880.0,3363587826.108791,3107618792.541912,3107618792.541912,20,46
POL,Poland,core_eu27_uk_ch,Warsaw Chopin Airport,WAW,52.1657,20.9671,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00007,grid,54.419265692428354,16.50298019589284,524.1172873969498,rail,False,5440.879713381405,5026.82876719308,3101.3014366274006,1823944952.7317696,1980256828.1957378,23134060.326280084,24524460.70004202,3851860301.95383,0.0,0.0,0.4530132269975754,0.49183640914236515,0.005745806805336149,0.006091140560717943,0.046,0.056,salt,0.97416,fixed,,,,market,0.7213766318713415,139.03184,280.0,174390685.9484102,steady_h2_store,1.0,1.0,0.0,0.0,10840.567310024759,5219.532408530439,16060.099718555197,4.290422455797698,748.6488747443979,915832.5538568016,34102453.54235678,32790820.7138046,1.04,0.03446664416771911,1.1111,0.24240037215790627,0.24240037215790627,mixed,0.325,0.08000000000000002,0.32106383418436585,heuristic,0.08000000000000002,0.32106383418436585,valid,1.0,35.0,19824605526.826694,15742882544.259848,0.0,4004880.0,3851860301.95383,3558733732.9751434,3558733732.9751434,0,38
